C:\Users\lees_\AppData\Local\Programs\Python\Python310\python.exe C:\Users\lees_\PycharmProjects\KFGNet\results.py
max_iter=39
C:\Users\lees_\PycharmProjects\KFGNet\model.py:343: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ..\torch\csrc\utils\tensor_new.cpp:248.)
  vmotion = torch.tensor(vmotion_list, dtype=torch.float32).to(device)
loss.mean() = 2.142463445663452, y_pred = [0.36040974 0.6395903 ], y_actual = tensor([1., 0.])
loss.mean() = 0.045106738805770874, y_pred = [0.9561524  0.04384766], y_actual = tensor([1., 0.])
loss.mean() = 0.0022317650727927685, y_pred = [6.6340732e-04 9.9933654e-01], y_actual = tensor([0., 1.])
loss.mean() = 0.06568582355976105, y_pred = [0.06298812 0.93701184], y_actual = tensor([0., 1.])
loss.mean() = 9.782129287719727, y_pred = [9.999435e-01 5.646852e-05], y_actual = tensor([0., 1.])
loss.mean() = 0.039990320801734924, y_pred = [0.0386605 0.9613395], y_actual = tensor([0., 1.])
loss.mean() = 0.05730438977479935, y_pred = [0.05526724 0.9447327 ], y_actual = tensor([0., 1.])
loss.mean() = 5.672174453735352, y_pred = [0.9965581  0.00344185], y_actual = tensor([0., 1.])
loss.mean() = 0.37038731575012207, y_pred = [0.29640988 0.7035901 ], y_actual = tensor([0., 1.])
loss.mean() = 0.014271127060055733, y_pred = [3.8114723e-04 9.9961877e-01], y_actual = tensor([0., 1.])
loss.mean() = 5.358443737030029, y_pred = [0.9952904  0.00470959], y_actual = tensor([0., 1.])
loss.mean() = 11.63398551940918, y_pred = [8.868149e-06 9.999912e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.9565567970275879, y_pred = [0.38606203 0.613938  ], y_actual = tensor([1., 0.])
loss.mean() = 0.0003342926502227783, y_pred = [1.0000000e+00 1.1210747e-16], y_actual = tensor([1., 0.])
loss.mean() = 0.00042119622230529785, y_pred = [9.9999845e-01 1.5829431e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.8973597288131714, y_pred = [0.4091568  0.59084314], y_actual = tensor([1., 0.])
loss.mean() = 0.1517692655324936, y_pred = [0.8593866  0.14061335], y_actual = tensor([1., 0.])
Epoch: 12, Total Loss: 50.38134765625, Avg Loss: 1.2918294668197632
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch12.pth
max_iter=39
loss.mean() = 0.003000015625730157, y_pred = [0.9978721  0.00212791], y_actual = tensor([1., 0.])
loss.mean() = 0.020394286140799522, y_pred = [0.98042345 0.01957659], y_actual = tensor([1., 0.])
loss.mean() = 0.37154093384742737, y_pred = [0.6900776  0.30992243], y_actual = tensor([1., 0.])
loss.mean() = 0.28794538974761963, y_pred = [0.74987    0.25012997], y_actual = tensor([1., 0.])
loss.mean() = 0.003506632521748543, y_pred = [9.9958199e-01 4.1800833e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.4784218966960907, y_pred = [0.6201952  0.37980482], y_actual = tensor([1., 0.])
loss.mean() = 0.8949474692344666, y_pred = [0.40870637 0.59129363], y_actual = tensor([1., 0.])
loss.mean() = 0.8709472417831421, y_pred = [0.41872564 0.5812744 ], y_actual = tensor([1., 0.])
loss.mean() = 1.8620421886444092, y_pred = [0.15544961 0.8445504 ], y_actual = tensor([1., 0.])
loss.mean() = 0.5307427644729614, y_pred = [0.5883887  0.41161135], y_actual = tensor([1., 0.])
loss.mean() = 0.00037403404712677, y_pred = [1.0000000e+00 2.5285075e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.001403018832206726, y_pred = [1.000000e+00 9.442831e-20], y_actual = tensor([1., 0.])
loss.mean() = 0.0006190389394760132, y_pred = [9.999993e-01 7.066314e-07], y_actual = tensor([1., 0.])
loss.mean() = 1.9351270198822021, y_pred = [0.14459772 0.85540223], y_actual = tensor([1., 0.])
loss.mean() = 0.9934923648834229, y_pred = [0.37054467 0.6294553 ], y_actual = tensor([1., 0.])
loss.mean() = 8.585029602050781, y_pred = [1.8712554e-04 9.9981290e-01], y_actual = tensor([1., 0.])
loss.mean() = 4.897851943969727, y_pred = [0.00747192 0.9925281 ], y_actual = tensor([1., 0.])
loss.mean() = 0.013391115702688694, y_pred = [0.9870964  0.01290353], y_actual = tensor([1., 0.])
loss.mean() = 0.9410359859466553, y_pred = [0.60942787 0.3905721 ], y_actual = tensor([0., 1.])
loss.mean() = 1.4547760486602783, y_pred = [0.76646966 0.23353034], y_actual = tensor([0., 1.])
loss.mean() = 5.287517070770264, y_pred = [0.9949425  0.00505752], y_actual = tensor([0., 1.])
loss.mean() = 1.4181751012802124, y_pred = [0.757649   0.24235104], y_actual = tensor([0., 1.])
loss.mean() = 1.2879410982131958, y_pred = [0.7238847 0.2761153], y_actual = tensor([0., 1.])
loss.mean() = 0.0010199137032032013, y_pred = [9.9921405e-01 7.8587851e-04], y_actual = tensor([1., 0.])
loss.mean() = 2.2048120498657227, y_pred = [0.8895486  0.11045138], y_actual = tensor([0., 1.])
loss.mean() = 1.479654312133789, y_pred = [0.77221787 0.22778212], y_actual = tensor([0., 1.])
loss.mean() = 1.6247563362121582, y_pred = [0.8029972 0.1970028], y_actual = tensor([0., 1.])
loss.mean() = 1.2705881595611572, y_pred = [0.7192744  0.28072563], y_actual = tensor([0., 1.])
loss.mean() = 0.16710740327835083, y_pred = [0.15370002 0.84629995], y_actual = tensor([0., 1.])
loss.mean() = 1.871692419052124, y_pred = [0.8460953  0.15390466], y_actual = tensor([0., 1.])
loss.mean() = 3.3175790309906006, y_pred = [0.9629611  0.03703893], y_actual = tensor([0., 1.])
loss.mean() = 0.03796004503965378, y_pred = [0.02407289 0.9759271 ], y_actual = tensor([0., 1.])
loss.mean() = 5.406364440917969, y_pred = [0.99551046 0.0044896 ], y_actual = tensor([0., 1.])
loss.mean() = 0.9135510921478271, y_pred = [0.40148982 0.59851015], y_actual = tensor([1., 0.])
loss.mean() = 8.874088287353516, y_pred = [1.4049002e-04 9.9985945e-01], y_actual = tensor([1., 0.])
loss.mean() = 0.0007818043231964111, y_pred = [1.0000000e+00 5.0027265e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.0013408339582383633, y_pred = [9.9913460e-01 8.6544483e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.03440404310822487, y_pred = [0.97007734 0.02992267], y_actual = tensor([1., 0.])
loss.mean() = 3.782724618911743, y_pred = [0.02276532 0.9772347 ], y_actual = tensor([1., 0.])
Epoch: 13, Total Loss: 63.12864303588867, Avg Loss: 1.618683099746704
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch13.pth
max_iter=39
loss.mean() = 0.001051261555403471, y_pred = [9.9996841e-01 3.1636726e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.004001914523541927, y_pred = [0.9968233  0.00317673], y_actual = tensor([1., 0.])
loss.mean() = 0.041330449283123016, y_pred = [0.96027863 0.03972135], y_actual = tensor([1., 0.])
loss.mean() = 0.9462093114852905, y_pred = [0.38827926 0.6117208 ], y_actual = tensor([1., 0.])
loss.mean() = 0.08515004068613052, y_pred = [0.92178476 0.07821526], y_actual = tensor([1., 0.])
loss.mean() = 0.004487194120883942, y_pred = [0.99643904 0.00356097], y_actual = tensor([1., 0.])
loss.mean() = 1.5975775718688965, y_pred = [0.2024348 0.7975653], y_actual = tensor([1., 0.])
loss.mean() = 0.5305612087249756, y_pred = [0.58840644 0.4115936 ], y_actual = tensor([1., 0.])
loss.mean() = 0.02536417543888092, y_pred = [0.9766187  0.02338132], y_actual = tensor([1., 0.])
loss.mean() = 3.9422006607055664, y_pred = [0.01942248 0.98057747], y_actual = tensor([1., 0.])
loss.mean() = 0.0006235986948013306, y_pred = [1.0000000e+00 2.6907568e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.0012625276576727629, y_pred = [9.9964607e-01 3.5387586e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0004950016736984253, y_pred = [1.000000e+00 8.775462e-14], y_actual = tensor([1., 0.])
loss.mean() = 0.9178309440612793, y_pred = [0.3994677 0.6005323], y_actual = tensor([1., 0.])
loss.mean() = 2.108340263366699, y_pred = [0.12147434 0.8785256 ], y_actual = tensor([1., 0.])
loss.mean() = 0.2630997598171234, y_pred = [0.7691232  0.23087682], y_actual = tensor([1., 0.])
loss.mean() = 0.010554706677794456, y_pred = [0.99012065 0.0098794 ], y_actual = tensor([1., 0.])
loss.mean() = 2.4761297702789307, y_pred = [0.08410203 0.91589797], y_actual = tensor([1., 0.])
loss.mean() = 0.008721545338630676, y_pred = [0.00731477 0.9926852 ], y_actual = tensor([0., 1.])
loss.mean() = 0.45237138867378235, y_pred = [0.36382133 0.6361787 ], y_actual = tensor([0., 1.])
loss.mean() = 0.5712065696716309, y_pred = [0.43506616 0.56493384], y_actual = tensor([0., 1.])
loss.mean() = 0.05536343529820442, y_pred = [0.05319591 0.94680405], y_actual = tensor([0., 1.])
loss.mean() = 1.4379689693450928, y_pred = [0.7623196  0.23768038], y_actual = tensor([0., 1.])
loss.mean() = 0.04571380838751793, y_pred = [0.9557944  0.04420558], y_actual = tensor([1., 0.])
loss.mean() = 0.462571918964386, y_pred = [0.36922982 0.63077015], y_actual = tensor([0., 1.])
loss.mean() = 0.32259976863861084, y_pred = [0.27553594 0.724464  ], y_actual = tensor([0., 1.])
loss.mean() = 3.117738723754883, y_pred = [0.95573366 0.0442663 ], y_actual = tensor([0., 1.])
loss.mean() = 1.2201154232025146, y_pred = [0.7047346  0.29526532], y_actual = tensor([0., 1.])
loss.mean() = 0.652349054813385, y_pred = [0.4790283 0.5209717], y_actual = tensor([0., 1.])
loss.mean() = 1.2076802253723145, y_pred = [0.70102626 0.2989737 ], y_actual = tensor([0., 1.])
loss.mean() = 3.040898561477661, y_pred = [0.9506933  0.04930669], y_actual = tensor([0., 1.])
loss.mean() = 0.474132239818573, y_pred = [0.3642882  0.63571185], y_actual = tensor([0., 1.])
loss.mean() = 3.371553897857666, y_pred = [0.9656421  0.03435793], y_actual = tensor([0., 1.])
loss.mean() = 2.616450309753418, y_pred = [0.07314355 0.92685646], y_actual = tensor([1., 0.])
loss.mean() = 0.8778952360153198, y_pred = [0.41756493 0.58243513], y_actual = tensor([1., 0.])
loss.mean() = 0.0008956938982009888, y_pred = [1.0000000e+00 3.8514647e-15], y_actual = tensor([1., 0.])
loss.mean() = 0.0005628764629364014, y_pred = [9.999999e-01 8.839509e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.009304862469434738, y_pred = [0.9959722  0.00402779], y_actual = tensor([1., 0.])
loss.mean() = 0.3344991207122803, y_pred = [0.7158359  0.28416404], y_actual = tensor([1., 0.])
Epoch: 14, Total Loss: 33.23686599731445, Avg Loss: 0.8522273302078247
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch14.pth
max_iter=39
loss.mean() = 0.05285828560590744, y_pred = [0.9496825  0.05031757], y_actual = tensor([1., 0.])
loss.mean() = 0.009745982475578785, y_pred = [0.99128866 0.00871127], y_actual = tensor([1., 0.])
loss.mean() = 0.18252058327198029, y_pred = [0.833961   0.16603898], y_actual = tensor([1., 0.])
loss.mean() = 0.43676066398620605, y_pred = [0.6462347  0.35376537], y_actual = tensor([1., 0.])
loss.mean() = 1.7482964992523193, y_pred = [0.17487039 0.82512957], y_actual = tensor([1., 0.])
loss.mean() = 0.03445029631257057, y_pred = [0.9670379  0.03296214], y_actual = tensor([1., 0.])
loss.mean() = 1.0016932487487793, y_pred = [0.3673945 0.6326055], y_actual = tensor([1., 0.])
loss.mean() = 0.3613660931587219, y_pred = [0.6969156  0.30308437], y_actual = tensor([1., 0.])
loss.mean() = 0.4116138219833374, y_pred = [0.6637163  0.33628377], y_actual = tensor([1., 0.])
loss.mean() = 1.4842164516448975, y_pred = [0.22688115 0.77311885], y_actual = tensor([1., 0.])
loss.mean() = 0.0007037073373794556, y_pred = [1.0000000e+00 4.7578737e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.528118371963501, y_pred = [0.59040475 0.40959522], y_actual = tensor([1., 0.])
loss.mean() = 0.0006204843521118164, y_pred = [9.9999988e-01 1.0646976e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.6788060665130615, y_pred = [0.50734854 0.49265152], y_actual = tensor([1., 0.])
loss.mean() = 0.7890706062316895, y_pred = [0.4544139  0.54558605], y_actual = tensor([1., 0.])
loss.mean() = 0.2228861153125763, y_pred = [0.80106884 0.19893111], y_actual = tensor([1., 0.])
loss.mean() = 0.3443763852119446, y_pred = [0.7090693  0.29093072], y_actual = tensor([1., 0.])
loss.mean() = 0.0493321493268013, y_pred = [0.9524611  0.04753884], y_actual = tensor([1., 0.])
loss.mean() = 0.029637036845088005, y_pred = [0.02773956 0.9722605 ], y_actual = tensor([0., 1.])
loss.mean() = 0.37455594539642334, y_pred = [0.31232944 0.6876706 ], y_actual = tensor([0., 1.])
loss.mean() = 0.7774718403816223, y_pred = [0.54033655 0.45966345], y_actual = tensor([0., 1.])
loss.mean() = 0.24829068779945374, y_pred = [0.2189438 0.7810562], y_actual = tensor([0., 1.])
loss.mean() = 1.6094588041305542, y_pred = [0.7996707 0.2003293], y_actual = tensor([0., 1.])
loss.mean() = 0.07735341787338257, y_pred = [0.92603964 0.07396035], y_actual = tensor([1., 0.])
loss.mean() = 0.19858418405056, y_pred = [0.17819725 0.82180274], y_actual = tensor([0., 1.])
loss.mean() = 0.2783026099205017, y_pred = [0.2426955 0.7573045], y_actual = tensor([0., 1.])
loss.mean() = 1.0666284561157227, y_pred = [0.6557624 0.3442376], y_actual = tensor([0., 1.])
loss.mean() = 0.3968137800693512, y_pred = [0.32736367 0.6726363 ], y_actual = tensor([0., 1.])
loss.mean() = 0.5543404221534729, y_pred = [0.425374   0.57462597], y_actual = tensor([0., 1.])
loss.mean() = 0.7872994542121887, y_pred = [0.54480124 0.45519876], y_actual = tensor([0., 1.])
loss.mean() = 2.0934534072875977, y_pred = [0.8709211  0.12907898], y_actual = tensor([0., 1.])
loss.mean() = 7.477229118347168, y_pred = [9.994172e-01 5.828392e-04], y_actual = tensor([0., 1.])
loss.mean() = 1.0673677921295166, y_pred = [0.6558283  0.34417173], y_actual = tensor([0., 1.])
loss.mean() = 2.555324077606201, y_pred = [0.07778104 0.922219  ], y_actual = tensor([1., 0.])
loss.mean() = 0.6662235260009766, y_pred = [0.5170388  0.48296124], y_actual = tensor([1., 0.])
loss.mean() = 0.0012906938791275024, y_pred = [1.0000000e+00 7.9077244e-16], y_actual = tensor([1., 0.])
loss.mean() = 0.0005874335765838623, y_pred = [1.000000e+00 9.590919e-11], y_actual = tensor([1., 0.])
loss.mean() = 0.2894001007080078, y_pred = [0.7556911  0.24430886], y_actual = tensor([1., 0.])
loss.mean() = 0.5750742554664612, y_pred = [0.5627689  0.43723118], y_actual = tensor([1., 0.])
Epoch: 15, Total Loss: 29.46212387084961, Avg Loss: 0.7554391026496887
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch15.pth
max_iter=39
loss.mean() = 0.03828858584165573, y_pred = [0.9643979  0.03560205], y_actual = tensor([1., 0.])
loss.mean() = 0.03715003654360771, y_pred = [0.96513337 0.03486668], y_actual = tensor([1., 0.])
loss.mean() = 0.0028254929929971695, y_pred = [0.9988638  0.00113624], y_actual = tensor([1., 0.])
loss.mean() = 0.377147376537323, y_pred = [0.68592983 0.3140701 ], y_actual = tensor([1., 0.])
loss.mean() = 0.078050397336483, y_pred = [0.93346506 0.06653491], y_actual = tensor([1., 0.])
loss.mean() = 0.5552573800086975, y_pred = [0.57502854 0.42497143], y_actual = tensor([1., 0.])
loss.mean() = 0.45564237236976624, y_pred = [0.63427424 0.36572576], y_actual = tensor([1., 0.])
loss.mean() = 0.34185266494750977, y_pred = [0.710677   0.28932297], y_actual = tensor([1., 0.])
loss.mean() = 1.6740254163742065, y_pred = [0.1880889 0.8119111], y_actual = tensor([1., 0.])
loss.mean() = 0.652942419052124, y_pred = [0.52138907 0.47861096], y_actual = tensor([1., 0.])
loss.mean() = 0.0013762116432189941, y_pred = [1.000000e+00 7.103503e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.002088352805003524, y_pred = [9.9998343e-01 1.6568956e-05], y_actual = tensor([1., 0.])
loss.mean() = 0.000760883092880249, y_pred = [1.0000000e+00 4.3329917e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.615654706954956, y_pred = [0.54041684 0.45958322], y_actual = tensor([1., 0.])
loss.mean() = 0.9165533781051636, y_pred = [0.4000518  0.59994817], y_actual = tensor([1., 0.])
loss.mean() = 1.6322152614593506, y_pred = [0.19578277 0.8042172 ], y_actual = tensor([1., 0.])
loss.mean() = 0.23611058294773102, y_pred = [0.7904403 0.2095597], y_actual = tensor([1., 0.])
loss.mean() = 0.4843999445438385, y_pred = [0.61667687 0.38332313], y_actual = tensor([1., 0.])
loss.mean() = 0.08727715909481049, y_pred = [0.08137991 0.9186201 ], y_actual = tensor([0., 1.])
loss.mean() = 0.43829116225242615, y_pred = [0.35475904 0.6452409 ], y_actual = tensor([0., 1.])
loss.mean() = 1.0789225101470947, y_pred = [0.65996504 0.34003505], y_actual = tensor([0., 1.])
loss.mean() = 0.7226318120956421, y_pred = [0.513597 0.486403], y_actual = tensor([0., 1.])
loss.mean() = 0.1793091893196106, y_pred = [0.16190983 0.8380902 ], y_actual = tensor([0., 1.])
loss.mean() = 0.017003649845719337, y_pred = [0.983685   0.01631496], y_actual = tensor([1., 0.])
loss.mean() = 0.2177094966173172, y_pred = [0.19198349 0.80801654], y_actual = tensor([0., 1.])
loss.mean() = 0.429853230714798, y_pred = [0.3491052 0.6508948], y_actual = tensor([0., 1.])
loss.mean() = 1.0778169631958008, y_pred = [0.6595876  0.34041235], y_actual = tensor([0., 1.])
loss.mean() = 0.18478083610534668, y_pred = [0.1683935 0.8316065], y_actual = tensor([0., 1.])
loss.mean() = 0.3344195783138275, y_pred = [0.2839606  0.71603936], y_actual = tensor([0., 1.])
loss.mean() = 1.082385778427124, y_pred = [0.6611194 0.3388806], y_actual = tensor([0., 1.])
loss.mean() = 4.534055709838867, y_pred = [0.9882317 0.0117683], y_actual = tensor([0., 1.])
loss.mean() = 0.08230622112751007, y_pred = [0.00328688 0.99671316], y_actual = tensor([0., 1.])
loss.mean() = 2.918828248977661, y_pred = [0.94594127 0.05405872], y_actual = tensor([0., 1.])
loss.mean() = 2.9347805976867676, y_pred = [0.0532892  0.94671077], y_actual = tensor([1., 0.])
loss.mean() = 0.0757531151175499, y_pred = [0.9377002  0.06229983], y_actual = tensor([1., 0.])
loss.mean() = 0.0028031766414642334, y_pred = [1.0000000e+00 1.8142293e-12], y_actual = tensor([1., 0.])
loss.mean() = 0.0011265426874160767, y_pred = [9.9999952e-01 4.7235903e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.026228077709674835, y_pred = [0.99554306 0.00445697], y_actual = tensor([1., 0.])
loss.mean() = 0.115012526512146, y_pred = [0.8915552  0.10844477], y_actual = tensor([1., 0.])
Epoch: 16, Total Loss: 24.643640518188477, Avg Loss: 0.631888210773468
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch16.pth
max_iter=39
loss.mean() = 0.0806473046541214, y_pred = [0.92604333 0.07395668], y_actual = tensor([1., 0.])
loss.mean() = 0.004967676009982824, y_pred = [0.9981438  0.00185618], y_actual = tensor([1., 0.])
loss.mean() = 0.008922811597585678, y_pred = [0.9943006  0.00569939], y_actual = tensor([1., 0.])
loss.mean() = 0.2004852145910263, y_pred = [0.818511   0.18148899], y_actual = tensor([1., 0.])
loss.mean() = 0.02270292304456234, y_pred = [0.9984415  0.00155855], y_actual = tensor([1., 0.])
loss.mean() = 0.028235552832484245, y_pred = [0.97683245 0.02316757], y_actual = tensor([1., 0.])
loss.mean() = 1.2538342475891113, y_pred = [0.28554854 0.7144515 ], y_actual = tensor([1., 0.])
loss.mean() = 0.5214245319366455, y_pred = [0.5938842  0.40611568], y_actual = tensor([1., 0.])
loss.mean() = 0.4761052131652832, y_pred = [0.6254518 0.3745483], y_actual = tensor([1., 0.])
loss.mean() = 0.1845519244670868, y_pred = [0.834468   0.16553205], y_actual = tensor([1., 0.])
loss.mean() = 0.0022991448640823364, y_pred = [9.9999881e-01 1.1987081e-06], y_actual = tensor([1., 0.])
loss.mean() = 0.003739786334335804, y_pred = [9.9942291e-01 5.7713466e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.0013083815574645996, y_pred = [9.9999988e-01 1.1320533e-07], y_actual = tensor([1., 0.])
loss.mean() = 1.0282357931137085, y_pred = [0.35772452 0.64227545], y_actual = tensor([1., 0.])
loss.mean() = 1.1815675497055054, y_pred = [0.30691755 0.69308245], y_actual = tensor([1., 0.])
loss.mean() = 2.3827075958251953, y_pred = [0.09260807 0.90739197], y_actual = tensor([1., 0.])
loss.mean() = 1.3887357711791992, y_pred = [0.24967389 0.7503261 ], y_actual = tensor([1., 0.])
loss.mean() = 0.5686130523681641, y_pred = [0.5670784 0.4329216], y_actual = tensor([1., 0.])
loss.mean() = 0.17334842681884766, y_pred = [0.15582182 0.8441782 ], y_actual = tensor([0., 1.])
loss.mean() = 0.46600717306137085, y_pred = [0.3724119  0.62758815], y_actual = tensor([0., 1.])
loss.mean() = 0.7020756602287292, y_pred = [0.50428915 0.49571085], y_actual = tensor([0., 1.])
loss.mean() = 0.25629332661628723, y_pred = [0.2224196 0.7775804], y_actual = tensor([0., 1.])
loss.mean() = 0.14559683203697205, y_pred = [0.13049808 0.86950195], y_actual = tensor([0., 1.])
loss.mean() = 0.02025216817855835, y_pred = [0.98074716 0.01925287], y_actual = tensor([1., 0.])
loss.mean() = 0.7879718542098999, y_pred = [0.54204816 0.4579518 ], y_actual = tensor([0., 1.])
loss.mean() = 0.31969761848449707, y_pred = [0.2733188  0.72668123], y_actual = tensor([0., 1.])
loss.mean() = 0.9142462611198425, y_pred = [0.5990964 0.4009036], y_actual = tensor([0., 1.])
loss.mean() = 0.27352890372276306, y_pred = [0.23903538 0.7609646 ], y_actual = tensor([0., 1.])
loss.mean() = 0.30036985874176025, y_pred = [0.25916347 0.74083656], y_actual = tensor([0., 1.])
loss.mean() = 0.6402294039726257, y_pred = [0.47267172 0.5273283 ], y_actual = tensor([0., 1.])
loss.mean() = 3.2739596366882324, y_pred = [0.95105517 0.04894483], y_actual = tensor([0., 1.])
loss.mean() = 3.8446292877197266, y_pred = [0.9731512  0.02684886], y_actual = tensor([0., 1.])
loss.mean() = 0.9046032428741455, y_pred = [0.59454477 0.4054552 ], y_actual = tensor([0., 1.])
loss.mean() = 2.0207602977752686, y_pred = [0.13343653 0.86656344], y_actual = tensor([1., 0.])
loss.mean() = 0.8499036431312561, y_pred = [0.4404077  0.55959225], y_actual = tensor([1., 0.])
loss.mean() = 0.008212044835090637, y_pred = [1.000000e+00 9.062482e-16], y_actual = tensor([1., 0.])
loss.mean() = 0.0038509368896484375, y_pred = [1.00000e+00 9.24383e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.12894555926322937, y_pred = [0.99389255 0.00610751], y_actual = tensor([1., 0.])
loss.mean() = 0.6429716348648071, y_pred = [0.5259538  0.47404617], y_actual = tensor([1., 0.])
Epoch: 17, Total Loss: 26.016536712646484, Avg Loss: 0.6670907139778137
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch17.pth
max_iter=39
loss.mean() = 0.03400789946317673, y_pred = [0.9811373  0.01886268], y_actual = tensor([1., 0.])
loss.mean() = 0.017458954825997353, y_pred = [0.9944312  0.00556875], y_actual = tensor([1., 0.])
loss.mean() = 0.016598843038082123, y_pred = [0.9975472  0.00245281], y_actual = tensor([1., 0.])
loss.mean() = 0.40035542845726013, y_pred = [0.67054987 0.32945016], y_actual = tensor([1., 0.])
loss.mean() = 0.26744338870048523, y_pred = [0.9067047  0.09329525], y_actual = tensor([1., 0.])
loss.mean() = 0.05736691132187843, y_pred = [9.992520e-01 7.479702e-04], y_actual = tensor([1., 0.])
loss.mean() = 0.13875208795070648, y_pred = [0.8710068  0.12899317], y_actual = tensor([1., 0.])
loss.mean() = 0.05517299100756645, y_pred = [0.9466718 0.0533283], y_actual = tensor([1., 0.])
loss.mean() = 0.126308411359787, y_pred = [0.9307236  0.06927641], y_actual = tensor([1., 0.])
loss.mean() = 0.5985545516014099, y_pred = [0.5634853 0.4365147], y_actual = tensor([1., 0.])
loss.mean() = 0.016521379351615906, y_pred = [1.0000000e+00 1.0980942e-08], y_actual = tensor([1., 0.])
loss.mean() = 0.012288406491279602, y_pred = [0.99769384 0.0023061 ], y_actual = tensor([1., 0.])
loss.mean() = 0.007520809769630432, y_pred = [9.9999952e-01 4.5133075e-07], y_actual = tensor([1., 0.])
loss.mean() = 0.6056181192398071, y_pred = [0.54587716 0.4541228 ], y_actual = tensor([1., 0.])
loss.mean() = 1.2774999141693115, y_pred = [0.27886343 0.72113657], y_actual = tensor([1., 0.])
loss.mean() = 0.7223919034004211, y_pred = [0.4927082  0.50729173], y_actual = tensor([1., 0.])
loss.mean() = 0.8632379770278931, y_pred = [0.42316446 0.5768356 ], y_actual = tensor([1., 0.])
loss.mean() = 0.7534824013710022, y_pred = [0.47221214 0.5277878 ], y_actual = tensor([1., 0.])
loss.mean() = 0.13619543612003326, y_pred = [0.1101565  0.88984346], y_actual = tensor([0., 1.])
loss.mean() = 0.37469902634620667, y_pred = [0.31234998 0.6876501 ], y_actual = tensor([0., 1.])
loss.mean() = 1.0529820919036865, y_pred = [0.6509346  0.34906548], y_actual = tensor([0., 1.])
loss.mean() = 0.5220366716384888, y_pred = [0.39711043 0.6028896 ], y_actual = tensor([0., 1.])
loss.mean() = 0.5900554060935974, y_pred = [0.43571034 0.56428975], y_actual = tensor([0., 1.])
loss.mean() = 0.11897251009941101, y_pred = [0.88899744 0.11100263], y_actual = tensor([1., 0.])
loss.mean() = 0.7673153877258301, y_pred = [0.52741486 0.47258517], y_actual = tensor([0., 1.])
loss.mean() = 0.3605787456035614, y_pred = [0.3023098 0.6976902], y_actual = tensor([0., 1.])
loss.mean() = 0.8210874795913696, y_pred = [0.55995506 0.4400449 ], y_actual = tensor([0., 1.])
loss.mean() = 0.4042070209980011, y_pred = [0.3322109  0.66778904], y_actual = tensor([0., 1.])
loss.mean() = 0.37819692492485046, y_pred = [0.3146075 0.6853925], y_actual = tensor([0., 1.])
loss.mean() = 0.9854681491851807, y_pred = [0.62662035 0.37337968], y_actual = tensor([0., 1.])
loss.mean() = 1.9041110277175903, y_pred = [0.5742793  0.42572066], y_actual = tensor([0., 1.])
loss.mean() = 1.6908141374588013, y_pred = [0.16026342 0.8397366 ], y_actual = tensor([0., 1.])
loss.mean() = 0.8142729997634888, y_pred = [0.55601525 0.4439847 ], y_actual = tensor([0., 1.])
loss.mean() = 0.9363543391227722, y_pred = [0.39560345 0.60439664], y_actual = tensor([1., 0.])
loss.mean() = 1.7910828590393066, y_pred = [0.16941097 0.83058894], y_actual = tensor([1., 0.])
loss.mean() = 0.0033580362796783447, y_pred = [1.000000e+00 5.590755e-09], y_actual = tensor([1., 0.])
loss.mean() = 0.0018999637104570866, y_pred = [9.9986720e-01 1.3275514e-04], y_actual = tensor([1., 0.])
loss.mean() = 1.2876865863800049, y_pred = [0.27969596 0.720304  ], y_actual = tensor([1., 0.])
loss.mean() = 0.41380059719085693, y_pred = [0.66139686 0.33860317], y_actual = tensor([1., 0.])
Epoch: 18, Total Loss: 21.32575798034668, Avg Loss: 0.5468143224716187
checkpoint (model & optimizer) has been saved to checkpoints/C3D_at_epoch18.pth
max_iter=39
loss.mean() = 0.009944767691195011, y_pred = [0.9921904  0.00780957], y_actual = tensor([1., 0.])
